Fold,Model,Chain,label,RMSE
0,CLUS (50),,disparate_parity,0.14752002988585128
0,CLUS (50),,equal_opportunity,0.1766965353750327
0,CLUS (50),,group_fairness,0.07276324199180702
0,CLUS (50),,all,0.13232660241756367
1,CLUS (50),,disparate_parity,0.14545153604258068
1,CLUS (50),,equal_opportunity,0.16451984213873122
1,CLUS (50),,group_fairness,0.07285083874244647
1,CLUS (50),,all,0.1276074056412528
2,CLUS (50),,disparate_parity,0.13689515954189505
2,CLUS (50),,equal_opportunity,0.16248925363814865
2,CLUS (50),,group_fairness,0.07387291233393606
2,CLUS (50),,all,0.12441910850465998
3,CLUS (50),,disparate_parity,0.14343522375058118
3,CLUS (50),,equal_opportunity,0.17117368085396611
3,CLUS (50),,group_fairness,0.07522570942322238
3,CLUS (50),,all,0.1299448713425899
4,CLUS (50),,disparate_parity,0.13566455475164876
4,CLUS (50),,equal_opportunity,0.1692687708498727
4,CLUS (50),,group_fairness,0.07879048273368236
4,CLUS (50),,all,0.12790793611173462
5,CLUS (50),,disparate_parity,0.13829180444063682
5,CLUS (50),,equal_opportunity,0.16533164020430666
5,CLUS (50),,group_fairness,0.07407809914231651
5,CLUS (50),,all,0.12590051459575338
6,CLUS (50),,disparate_parity,0.14188604359018864
6,CLUS (50),,equal_opportunity,0.17061384837265048
6,CLUS (50),,group_fairness,0.0708264488062098
6,CLUS (50),,all,0.12777544692301637
7,CLUS (50),,disparate_parity,0.13642759005146643
7,CLUS (50),,equal_opportunity,0.16856965703152388
7,CLUS (50),,group_fairness,0.07066306982455264
7,CLUS (50),,all,0.12522010563584768
8,CLUS (50),,disparate_parity,0.13674257999936798
8,CLUS (50),,equal_opportunity,0.16343748179103648
8,CLUS (50),,group_fairness,0.07415707186141768
8,CLUS (50),,all,0.12477904455060736
9,CLUS (50),,disparate_parity,0.14172446745442482
9,CLUS (50),,equal_opportunity,0.16641660168845898
9,CLUS (50),,group_fairness,0.07379325458211526
9,CLUS (50),,all,0.12731144124166638
0,CLUS (100),,disparate_parity,0.14740517463330957
0,CLUS (100),,equal_opportunity,0.17648629555987116
0,CLUS (100),,group_fairness,0.07318743672113058
0,CLUS (100),,all,0.13235963563810382
1,CLUS (100),,disparate_parity,0.14539708862163497
1,CLUS (100),,equal_opportunity,0.16452216832667793
1,CLUS (100),,group_fairness,0.07261715686376793
1,CLUS (100),,all,0.1275121379373603
2,CLUS (100),,disparate_parity,0.13690699022442201
2,CLUS (100),,equal_opportunity,0.16211755218770502
2,CLUS (100),,group_fairness,0.07341207551466888
2,CLUS (100),,all,0.12414553930893202
3,CLUS (100),,disparate_parity,0.14311383371859454
3,CLUS (100),,equal_opportunity,0.17060693782734573
3,CLUS (100),,group_fairness,0.07461907053950276
3,CLUS (100),,all,0.12944661402848098
4,CLUS (100),,disparate_parity,0.1357854903567865
4,CLUS (100),,equal_opportunity,0.1689886787085303
4,CLUS (100),,group_fairness,0.07855676294942242
4,CLUS (100),,all,0.12777697733824636
5,CLUS (100),,disparate_parity,0.13783152999554588
5,CLUS (100),,equal_opportunity,0.16483936685875553
5,CLUS (100),,group_fairness,0.07392378294328943
5,CLUS (100),,all,0.12553155993253037
6,CLUS (100),,disparate_parity,0.14208958419283152
6,CLUS (100),,equal_opportunity,0.1699131485328459
6,CLUS (100),,group_fairness,0.0702880158922549
6,CLUS (100),,all,0.12743024953931079
7,CLUS (100),,disparate_parity,0.1364658812936473
7,CLUS (100),,equal_opportunity,0.16812767134931983
7,CLUS (100),,group_fairness,0.07071050345012132
7,CLUS (100),,all,0.12510135203102948
8,CLUS (100),,disparate_parity,0.1366155971292058
8,CLUS (100),,equal_opportunity,0.16301407423834657
8,CLUS (100),,group_fairness,0.07334348506848593
8,CLUS (100),,all,0.1243243854786794
9,CLUS (100),,disparate_parity,0.14173299306759254
9,CLUS (100),,equal_opportunity,0.1664818281208307
9,CLUS (100),,group_fairness,0.07396640698023935
9,CLUS (100),,all,0.1273937427228876
0,CLUS (200),,disparate_parity,0.1475421336419708
0,CLUS (200),,equal_opportunity,0.1764357814017083
0,CLUS (200),,group_fairness,0.07278609072749366
0,CLUS (200),,all,0.13225466859039092
1,CLUS (200),,disparate_parity,0.1451551645174833
1,CLUS (200),,equal_opportunity,0.16402948636734033
1,CLUS (200),,group_fairness,0.07218808304295452
1,CLUS (200),,all,0.1271242446425927
2,CLUS (200),,disparate_parity,0.13677415587754926
2,CLUS (200),,equal_opportunity,0.16208662773651533
2,CLUS (200),,group_fairness,0.07347401853686097
2,CLUS (200),,all,0.12411160071697513
3,CLUS (200),,disparate_parity,0.14338870770804954
3,CLUS (200),,equal_opportunity,0.17044200591938471
3,CLUS (200),,group_fairness,0.07433684714489552
3,CLUS (200),,all,0.12938918692410983
4,CLUS (200),,disparate_parity,0.13587561248932994
4,CLUS (200),,equal_opportunity,0.16884043095640675
4,CLUS (200),,group_fairness,0.07825507267599736
4,CLUS (200),,all,0.12765703870724468
5,CLUS (200),,disparate_parity,0.13758472170212085
5,CLUS (200),,equal_opportunity,0.16519262510096017
5,CLUS (200),,group_fairness,0.0738038367045382
5,CLUS (200),,all,0.1255270611692064
6,CLUS (200),,disparate_parity,0.14199589017945827
6,CLUS (200),,equal_opportunity,0.16999864013414526
6,CLUS (200),,group_fairness,0.0703768768153697
6,CLUS (200),,all,0.12745713570965775
7,CLUS (200),,disparate_parity,0.13647976840181644
7,CLUS (200),,equal_opportunity,0.16826248252102935
7,CLUS (200),,group_fairness,0.07083298093818063
7,CLUS (200),,all,0.12519174395367552
8,CLUS (200),,disparate_parity,0.13640203793242783
8,CLUS (200),,equal_opportunity,0.16300282999452212
8,CLUS (200),,group_fairness,0.0730376883037189
8,CLUS (200),,all,0.12414751874355633
9,CLUS (200),,disparate_parity,0.14152235695350754
9,CLUS (200),,equal_opportunity,0.16627568201781448
9,CLUS (200),,group_fairness,0.07389319090157748
9,CLUS (200),,all,0.12723040995763316
